epoch,Train_Loss,Val_AUC
0,0.7064056184501328,51.236884163713434
1,0.6958671127403132,52.27920227920229
2,0.6970303243174214,53.432700993676605
3,0.6959035977658866,47.991800430824824
4,0.6945667845434723,51.0805364463901
5,0.6941612702034508,47.9223125564589
6,0.6974879266327894,46.2024876659023
7,0.6954748600596663,45.21575984990619
8,0.6942399326228696,46.449169619901326
9,0.6949046069608074,47.1996386630533
10,0.6933357483672298,53.16169828364951
11,0.693254142999649,52.96365784170662
12,0.6995338825002375,50.28142589118198
