epoch,Train_Loss,Val_AUC
0,1.0815841642670643,56.99836456817901
1,1.0597918156743924,55.60524830265131
2,1.0625791567170533,56.502277684384
3,1.0587736878972183,51.253808879342756
4,1.0595952923840009,55.7064493416219
5,1.0608472731556462,49.94574609244107
6,1.059168331853335,52.72971089301364
7,1.058757275051476,58.02420371402226
8,1.058234025184566,54.6765986365227
9,1.0574429704828192,52.75012952104557
10,1.0591193618284753,46.997277967584836
11,1.05728718937172,54.44781921570422
12,1.056308221627564,53.909803367937045
13,1.0557829159104737,48.9875262212212
14,1.0575261898612043,45.978240396564814
