epoch,Train_Loss,Val_AUC
0,1.0611659231570647,50.04270130437589
1,1.0544923543930054,50.0
2,1.0559613657318292,50.0
3,1.054215677064322,50.0
4,1.0545259094762918,50.0
5,1.0556998107136024,50.0
6,1.0553588891233383,50.0
7,1.0553747395140034,50.06478717212115
8,1.054969324896563,50.0
9,1.054407142120935,50.0
10,1.0550769178383508,49.95729869562411
11,1.055281141130732,50.0
12,1.0544941927372389,50.0
13,1.0536714680766126,50.131878720399484
14,1.0551904020944842,50.0
15,1.0554194386984725,50.0
16,1.0530964128108362,50.0
17,1.0552520835749386,50.0
18,1.0539605221130446,50.07698229407237
19,1.055388384314213,50.0
20,1.053932535036269,49.923017705927634
21,1.054583045628951,50.0
22,1.0547526607012108,50.0
23,1.0545333798765262,50.0
