epoch,Train_Loss,Val_AUC
0,0.6942308242101549,50.0
1,0.6934253870193928,50.0
2,0.6932639522033756,50.0
3,0.6932316915011306,50.0
4,0.6930471994138662,50.0
5,0.6930965811138872,50.0
6,0.6931109625425299,50.0
7,0.6930023939290306,50.0
8,0.693051450920903,50.0
9,0.6931514872167899,50.0
10,0.6931166171279413,50.0
